epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0268,1.45244,4.34853,3.77744,1.75064,0,0.00333,1,0.4033,0.13931,0.00083,0.25,0.12282,0.01228,1.98974,5.5058,3.42744,3.49999,0,0.000655367,0.000655367,0.000655367
2,39.4278,1.56126,3.7275,3.39262,1.85546,0,0.00333,1,0.07976,0.01859,0,0,0,0,2.60605,5.13201,3.78258,4.06378,0,0.00129586,0.00129586,0.00129586
3,58.6701,1.68833,3.61543,3.01635,1.94028,0,0.00167,0.5,0.0138,0.00252,0,0,0,0,3.20203,15.1802,3.84875,4.74003,0,0.00190995,0.00190995,0.00190995
4,77.831,1.75498,3.63423,3.02722,2.02713,0,0.04981,1,0.08895,0.02524,0,0,0,0,2.12653,8.10429,3.26099,3.60054,0,0.0018812,0.0018812,0.0018812
5,97.0154,1.77394,3.37788,3.00352,2.02638,0,0.05637,0.25,0.0554,0.01789,0,0,0,0,2.40031,10.3494,4.63908,2.98808,0,0.0018416,0.0018416,0.0018416
6,116.009,1.7312,3.2582,3.03906,1.95568,0,0.0229,0.75,0.05286,0.01152,0,0,0,0,2.93718,6.89447,2.91287,4.02563,0,0.001802,0.001802,0.001802
7,134.794,1.78811,3.50011,2.95279,2.01004,0,0.14126,0.25,0.14649,0.03434,0,0,0,0,1.96066,5.20446,3.50089,2.93749,0,0.0017624,0.0017624,0.0017624
8,153.602,1.64878,3.28626,2.66447,1.93977,0,0.16526,0.75,0.17173,0.04985,0,0,0,0,1.87493,5.64974,3.61724,2.96952,0,0.0017228,0.0017228,0.0017228
9,172.82,1.66703,3.26514,2.57573,1.90731,0,0.28012,0.5,0.24671,0.03786,0,0,0,0,1.77239,6.55201,2.90611,2.81083,0,0.0016832,0.0016832,0.0016832
10,192.102,1.70117,3.4494,2.63559,1.92385,0,0.19741,0.5,0.28429,0.07246,0,0,0,0,1.95047,4.7872,2.72541,2.79131,0,0.0016436,0.0016436,0.0016436
11,211.186,1.51326,3.16901,2.52163,1.75456,0,0.21284,0.5,0.1839,0.02968,0,0,0,0,2.14735,4.86208,3.61371,2.96524,0,0.001604,0.001604,0.001604
12,230.325,1.57626,3.30306,2.3589,1.8521,0,0.1375,0.25,0.22562,0.1109,0.00965,0.25,0.01563,0.00156,1.70758,4.72367,2.21735,2.77198,0,0.0015644,0.0015644,0.0015644
13,249.454,1.58739,3.0441,2.40384,1.82304,0,0.28671,0.75,0.32937,0.07551,0.11722,0.25,0.05592,0.0137,2.12258,4.84213,2.62168,3.1503,0,0.0015248,0.0015248,0.0015248
14,268.849,1.50499,3.24169,2.10461,1.72668,0,0.49992,0.25,0.19806,0.05461,0,0,0,0,2.14769,5.52645,2.91351,3.22519,0,0.0014852,0.0014852,0.0014852
15,288.551,1.54624,3.0221,2.23352,1.72809,0,0.51863,0.5,0.64381,0.1648,0.01888,0.25,0.01052,0.00105,2.67071,4.68198,2.12558,4.65047,0,0.0014456,0.0014456,0.0014456
16,308.215,1.64398,2.99264,2.33491,1.86634,0,0.31504,0.75,0.34188,0.10265,0.08462,0.25,0.02756,0.00276,2.08375,4.60133,2.24726,3.10395,0,0.001406,0.001406,0.001406
17,327.684,1.48113,2.85602,2.37665,1.70245,0,0.7202,1,0.796,0.34288,0.10647,0.25,0.04935,0.0066,1.5614,5.43966,1.8207,2.57223,0,0.0013664,0.0013664,0.0013664
18,346.869,1.45449,2.87877,2.2656,1.72434,0,0.32761,0.5,0.31004,0.13491,0.04462,0.25,0.02486,0.00554,1.76515,4.96886,1.94178,2.66211,0,0.0013268,0.0013268,0.0013268
19,365.929,1.45684,2.8436,2.16022,1.69459,0,0.16741,0.5,0.33133,0.09835,0.26275,0.25,0.09537,0.00987,1.91541,4.38168,2.33697,2.76469,0,0.0012872,0.0012872,0.0012872
20,385.334,1.4818,2.79875,2.04973,1.72316,0,0.48171,0.47257,0.3475,0.14203,0.0732,0.5,0.07309,0.01351,1.68776,4.43343,2.5253,2.76552,0,0.0012476,0.0012476,0.0012476
21,404.542,1.44987,3.11423,1.9823,1.71234,0,0.74804,0.75,0.81643,0.17749,0.0399,0.25,0.01789,0.00312,1.92764,5.16797,2.02716,2.97465,0,0.001208,0.001208,0.001208
22,423.931,1.46466,2.86766,2.00991,1.68374,0,0.28572,0.5,0.41417,0.15073,0.07211,0.5,0.04901,0.00647,1.60644,4.3678,1.93613,2.7227,0,0.0011684,0.0011684,0.0011684
23,443.188,1.42366,2.71502,2.00949,1.6284,0,0.35267,0.75,0.50278,0.24438,0.07714,0.25,0.04243,0.0045,1.86161,4.18315,2.03457,3.03223,0,0.0011288,0.0011288,0.0011288
24,462.198,1.39054,2.76014,1.95046,1.62852,0,0.29471,0.5,0.28991,0.1146,0.11559,0.25,0.03538,0.00708,1.89523,5.55366,2.33665,2.70604,0,0.0010892,0.0010892,0.0010892
25,481.39,1.37887,2.82013,1.92371,1.62536,0,0.35104,0.5,0.36888,0.11665,0.00103,0.25,0.00428,0.00043,1.76533,4.19676,2.22579,2.65322,0,0.0010496,0.0010496,0.0010496
26,500.637,1.40076,2.85115,1.91135,1.65106,0,0.49302,0.5,0.52805,0.16003,0.06502,0.25,0.02759,0.00276,1.75246,3.9587,2.00876,2.81512,0,0.00101,0.00101,0.00101
27,519.593,1.33566,2.69333,1.82116,1.59271,0,0.40173,0.75,0.41347,0.20797,0.00146,0.25,0.00438,0.00044,1.64564,4.68641,2.17193,2.61619,0,0.0009704,0.0009704,0.0009704
28,538.638,1.32562,2.90215,1.77219,1.56749,0,0.73366,1,0.796,0.25707,0.18273,0.25,0.06235,0.00691,1.7632,4.50728,1.88831,2.71631,0,0.0009308,0.0009308,0.0009308
29,557.889,1.2853,2.60925,1.67915,1.53077,0,0.35564,0.83366,0.4725,0.1673,0.26709,0.25,0.09145,0.00988,1.88825,4.91818,2.08184,2.83952,0,0.0008912,0.0008912,0.0008912
30,576.937,1.24866,2.68181,1.72746,1.55595,0,0.37467,1,0.398,0.10385,0.08707,0.25,0.02782,0.00337,1.70016,4.44248,2.45004,2.68389,0,0.0008516,0.0008516,0.0008516
31,595.936,1.28299,2.61939,1.75884,1.53903,0,0.68431,1,0.845,0.28841,0.22434,0.25,0.08247,0.0113,2.27188,4.68752,1.60337,3.16559,0,0.000812,0.000812,0.000812
32,615.142,1.18507,2.47967,1.61909,1.47117,0,0.49707,0.75,0.51843,0.21411,0.4931,0.48965,0.33048,0.0435,1.97785,3.69406,1.67174,2.72111,0,0.0007724,0.0007724,0.0007724
33,634.434,1.32082,2.6226,1.81937,1.56246,0,0.77897,0.89487,0.945,0.41128,0.21538,0.25,0.08255,0.01388,1.93003,4.08238,1.45493,2.57355,0,0.0007328,0.0007328,0.0007328
34,653.371,1.28241,2.55578,1.88436,1.52068,0,0.86529,0.75,0.945,0.23212,0.15088,0.25,0.07103,0.0071,2.07395,3.66632,1.50248,2.99627,0,0.0006932,0.0006932,0.0006932
35,672.438,1.18418,2.41932,1.74089,1.51956,0,0.58192,0.75,0.82536,0.34878,0.45509,0.25,0.19509,0.02015,2.03533,4.10903,1.76919,3.11598,0,0.0006536,0.0006536,0.0006536
36,691.553,1.2286,2.45481,1.76336,1.55219,0,0.698,0.75,0.66986,0.23468,0.17045,0.5,0.09102,0.01334,1.78853,4.32335,1.93641,2.61707,0,0.000614,0.000614,0.000614
37,710.707,1.19246,2.45971,1.68273,1.50304,0,0.74558,0.73675,0.66986,0.18806,0.16544,0.5,0.14099,0.02337,1.76844,4.14871,2.1713,2.62076,0,0.0005744,0.0005744,0.0005744
38,729.86,1.24293,2.58251,1.78955,1.5041,0,0.53067,0.75,0.53033,0.20014,0.00247,0.25,0.01319,0.00132,1.88004,4.99824,2.09884,2.80425,0,0.0005348,0.0005348,0.0005348
39,749.115,1.24752,2.7966,1.70601,1.57247,0,0.75835,1,0.945,0.36778,0.3984,0.5,0.3393,0.07534,2.08159,3.9964,1.44752,3.2941,0,0.0004952,0.0004952,0.0004952
40,768.151,1.13808,2.35845,1.57495,1.45293,0,0.6742,1,0.845,0.37682,0.77069,0.25,0.31049,0.06124,2.01591,3.9399,1.40744,2.97477,0,0.0004556,0.0004556,0.0004556
41,786.587,1.24062,2.33917,2.38679,1.76346,0,0.56054,1,0.70161,0.29845,0.16362,0.25,0.07518,0.0102,1.65491,4.79672,1.80692,2.70822,0,0.000416,0.000416,0.000416
